tipo_morte;hora;bairro_ocorrencia;logradouro;genero;etnia;idade;profissao;escolaridade;intrumento_utilizado; faixa;turno
HOMICIDIO;NI;IGAPÓ;AV TOMAZ LANDIM;MASCULINO;NEGRA;19;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;19:21;IGAPÓ;R ANTONIO SOUZA, PROXIMO A IGREJA CATOLICA;MASCULINO;NEGRA;39;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;18:00;IGAPÓ;R FELIPE DOS SANTOS Nº 454;MASCULINO;NEGRA;23;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;19:37;IGAPÓ;R MANOEL DE BRITO;MASCULINO;BRANCA;18;SOLDADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;18:00;IGAPÓ;R SANTA LUZIA;MASCULINO;NEGRA;23;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;22:50;IGAPÓ;R SANTO AGOSTINHO - 287;MASCULINO;NEGRA;27;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;NI;IGAPÓ;R SGTº CLOVIS;MASCULINO;NEGRA;27;GESSEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;NI;IGAPÓ;R SIQUEIRA CAMPOS - BEIRA RIO;MASCULINO;NEGRA;18;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;14:45;IGAPÓ;TERCEIRA TV DEUS NOS GUIA, BEIRA DO RIO IGAPO;FEMININO;NEGRA;25;DO LAR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;18:00;IGAPÓ;AV JOAO MEDEIROS FILHO;MASCULINO;PARDA;24;OPERADOR DE MAQUINA;ENSINO MEDIO COMPLETO;ARMA BRANCA;ADULTO;VESPERTINO
HOMICIDIO;12:50;IGAPÓ;AV DR JOAO MEDEIROS FILHO;MASCULINO;NEGRA;20;VIGILANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;20:46;IGAPÓ;R SANTO INACIO, 885;MASCULINO;NEGRA;46;PORTEIRO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;20:01;IGAPÓ;AREA DE MANGUE;MASCULINO;PARDA;19;NI;NI;ARMA BRANCA;ADULTO;NOTURNO
HOMICIDIO;12:13;IGAPÓ;AV TOMAZ LANDIM;MASCULINO;PARDA;25;NI;NI;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;NI;IGAPÓ;AV TOMAZ LANDIM;MASCULINO;PARDA;28;NI;NI;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;NI;IGAPÓ;AV TOMAZ LANDIM;FEMININO;BRANCA;18;DESOCUPADO(A);NI;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;18:00;IGAPÓ;AV TOMAZ LANDIM;MASCULINO;PARDA;16;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;VESPERTINO
HOMICIDIO;23:38;IGAPÓ;BR 101 - NA PARADA DAS MANGUEIRAS RD;MASCULINO;PARDA;36;DESOCUPADO(A);NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;18:00;IGAPÓ;CADAVER ENCONTRADO POR TRAS DA ESCOLA IRMA ARCANGELA;MASCULINO;PARDA;22;NI;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;18:00;IGAPÓ;ENCONTRADO NA BR 101 NORTE;MASCULINO;PARDA;31;NI;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;NI;IGAPÓ;PROXIMO AO ATACADAO, MANGUEZAL;MASCULINO;PARDA;16;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;NI
HOMICIDIO;15:19;IGAPÓ;R FEFTA SANTIAGO;MASCULINO;PARDA;39;NI;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;20:25;IGAPÓ;R SANAT LUZIA;MASCULINO;PARDA;26;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;18:00;IGAPÓ;R SANTO AGOSTINHO;FEMININO;BRANCA;26;NI;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;NI;IGAPÓ;TV VULPIANO CAVALCANTE - VILA PARAISO (OBITO NO HOSP. W. GURGEL);MASCULINO;PARDA;25;NI;NI;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;23:22;IGAPÓ;R SGTº CLOVIS;MASCULINO;BRANCA;27;ESTUDANTE D;SUPERIOR;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;12:13;LAGOA AZUL;FEIRA LIVRE DO CJ NOVA NATAL;MASCULINO;BRANCA;22;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;ADULTO;MATUTINO
HOMICIDIO;21:27;LAGOA AZUL;R DA FEIRA DO LOTEAMENTO LAGOA AZUL;MASCULINO;PARDA;24;BISCATEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;ADULTO;NOTURNO
HOMICIDIO;15:43;LAGOA AZUL;EM UM MATAGAL;MASCULINO;PARDA;21;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;18:00;LAGOA AZUL;ESTRADA PARALELA A R PRINCIPAL, LOT NORDELANDIA;MASCULINO;NEGRA;22;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;18:00;LAGOA AZUL;R AMELIA CRISTINA Nº 1410, LOTEAMENTO BOA ESPERANCA;MASCULINO;NEGRA;23;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;20:18;LAGOA AZUL;R CANTOR CARLOS ALEXANDRE, 140, LOTEAMENTO CAMARA CASCUDO;MASCULINO;NEGRA;20;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;21:27;LAGOA AZUL;R DA QUINA, NOVA NATAL;MASCULINO;NEGRA;23;AUXILIAR DE PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
LATROCINIO;18:00;LAGOA AZUL;R DO CORDAO ENCARNADO - NOVA NATAL;MASCULINO;PARDA;26;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;19:46;LAGOA AZUL;R RIBEIRAO Nº 46 ,LOT. ELDORADO LT;MASCULINO;BRANCA;24;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;09:25;LAGOA AZUL;TV EPAMINONDAS DA SILVEIRA FILHO;MASCULINO;NEGRA;18;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;23:38;LAGOA AZUL;VIA PUBLICA;MASCULINO;PARDA;22;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;23:57;LAGOA AZUL;AV JOAO MEDEIROS FILHO;MASCULINO;PARDA;23;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;15:43;LAGOA AZUL;BR 101;MASCULINO;BRANCA;29;ELETRICISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;19:03;LAGOA AZUL;R CCAB SUL ;MASCULINO;NEGRA;18;MECANICO(A);ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;21:02;LAGOA AZUL;R DA BERLINDA, EM FRENTE A CASA 1120, NOVA NATAL;MASCULINO;NEGRA;27;GARCOM;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;23:35;LAGOA AZUL;R DOS ALFINIS NA PIZZARIA DO ZE - PROX. A ANTIGA LOTERIA;MASCULINO;BRANCA;22;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;NI;LAGOA AZUL;R DOS CORAIS (CAMPO VIZINHO A ESCOLA ESTADUAL MIRIAM COELI - NOVA NATAL);MASCULINO;NEGRA;23;VIGILANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;18:00;LAGOA AZUL;R MONTE CAPITOLIA - NORDELANDIA;MASCULINO;PARDA;18;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;NI;LAGOA AZUL;R PROFESSORA MARIA VARELA;MASCULINO;PARDA;19;AUXILIAR DE PORTARIA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;20:01;LAGOA AZUL;R APOSTOLO FELIPE 48;MASCULINO;NEGRA;37;NI;NI;ARMA BRANCA;ADULTO;NOTURNO
HOMICIDIO;09:25;LAGOA AZUL;R GUSTAVO JOSE DE PAULA GOMES;MASCULINO;PARDA;39;DESOCUPADO(A);NI;ARMA BRANCA;ADULTO;MATUTINO
HOMICIDIO;19:46;LAGOA AZUL;AV AMELIA CRISTINA EM FRENTE A CASA DE N° 553 - LOTEAMENTO BOA ESPERANCA;MASCULINO;PARDA;32;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;22:12;LAGOA AZUL;AV BELA VISTA, CONJUNTO CIDADE PRAI;MASCULINO;PARDA;14;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;NOTURNO
HOMICIDIO;20:02;LAGOA AZUL;CAMINHO NAO PAVIMENTADO, REGIAO DE MATAGAL, GRAMORE;MASCULINO;NEGRA;22;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;17:10;LAGOA AZUL;ESTRADA CARROCAVEL ENTRE A BR 101 E O LOTEAMENTO NODERLANDIA;MASCULINO;NEGRA;22;NI;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;NI;LAGOA AZUL;ESTRADA CARROCAVEL POR TRAZ DO COLEGIO SABINO;MASCULINO;NEGRA;20;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;17:10;LAGOA AZUL;ESTRADA CARROCAVEL QUE LIGA NORDELANDIA A BR 101 NORTE;MASCULINO;PARDA;24;NI;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;19:06;LAGOA AZUL;MATAGAL DE TERRENO BALDIO;FEMININO;BRANCA;30;DESOCUPADO(A);NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;19:15;LAGOA AZUL;NORDELANDIA;MASCULINO;PARDA;23;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;NI;LAGOA AZUL;NORDERLANDIA;MASCULINO;PARDA;28;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;01:48;LAGOA AZUL;R ANITA MARQUES - VIA PUBLICA;MASCULINO;BRANCA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;MADRUGADA
HOMICIDIO;01:41;LAGOA AZUL;R DO ABOIO EM FRENTE AO Nº 946;MASCULINO;PARDA;23;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;20:44;LAGOA AZUL;R DOM PEDRO I, LOTEAMENTO JOSE SARNEY;MASCULINO;PARDA;33;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;23:22;LAGOA AZUL;R DR MARIANO DA SILVA, LOTEAMENTO CAMARA CASCUDO;MASCULINO;PARDA;51;DESOCUPADO(A);NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;12:13;LAGOA AZUL;R IVAIPURA, CONJUNTO SANTAREM;MASCULINO;BRANCA;18;DESOCUPADO(A);NI;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;19:21;LAGOA AZUL;R MESTRE LUCARINO, 20, LOTEAMENTO ALIANCA;MASCULINO;PARDA;47;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;19:04;LAGOA AZUL;R MISSAO DE CRISTO, EM FRENTE AO N° 374-B;MASCULINO;PARDA;29;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;04:09;LAGOA AZUL;R PALMIRA MAIA COSTA, 408 NORDELANDIA;MASCULINO;NEGRA;19;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;07:56;LAGOA AZUL;R PALMIRA MAIA COSTA, 408 NORDELANDIA;MASCULINO;NEGRA;24;NI;NI;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;10:17;LAGOA AZUL;R ROYAL CINEMA, 2998, NOVA NATAL;MASCULINO;NEGRA;22;NI;NI;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;18:00;LAGOA AZUL;TV DOS BORGES, LOTEAMENTO JOSE SARNEY;FEMININO;PARDA;28;NI;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;21:27;LAGOA NOVA;AV BERNANDO VIEIRA;MASCULINO;NEGRA;28;FLANELINHA;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;ADULTO;NOTURNO
HOMICIDIO;21:27;LAGOA NOVA;AV XAVIER DA SILVEIRA;MASCULINO;BRANCA;17;ENTREGADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADOLESCENTE;NOTURNO
HOMICIDIO;21:37;LAGOA NOVA;AV CAP MOR GOUVEIA;MASCULINO;BRANCA;31;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;18:34;LAGOA NOVA;R AMETISTA - CALCADA DA PRACA ;FEMININO;PARDA;19;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;00:13;LAGOA NOVA;R EDUARDO GURGEL;MASCULINO;BRANCA;20;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;10:17;LAGOA NOVA;R SAO VICENTE;MASCULINO;NEGRA;31;MECANICO(A);ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;18:00;LAGOA NOVA;VIA PUBLICA, LOTEAMENTO BOA ESPERANCA, NOVA NATAL;MASCULINO;NEGRA;19;REPOSITOR DE ESTOQUE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;21:27;LAGOA NOVA;AV SALGADO FILHO, PROXIMO AO PORTUGAL CENTER;MASCULINO;NEGRA;27;DESOCUPADO(A);NI;ARMA BRANCA;ADULTO;NOTURNO
HOMICIDIO;21:02;LAGOA NOVA;R ESTACIO DE SA;MASCULINO;PARDA;33;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;23:51;LAGOA NOVA;R LAURO MEDEIROS;MASCULINO;PARDA;23;DESOCUPADO(A);NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;18:27;LAGOA NOVA;R PERITO JOSE LOURENCO;MASCULINO;PARDA;65;APOSENTADO(A);NI;ESPANCAMENTO;IDOSO;VESPERTINO
LESAO CORPORAL SEGUIDA DE MORTE;23:41;LAGOA NOVA;AV: BERNARDO VIEIRA;MASCULINO;NEGRA;40;NI;NI;OBJETO CONTUNDENTE;ADULTO;NOTURNO
HOMICIDIO;05:15;LAGOA NOVA;R AMETISTA - CALCADA DA PRACA ;MASCULINO;PARDA;28;ESTUDANTE D;SUPERIOR;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;17:59;LAGOA SECA;R RITINHA COELHO S/N ;MASCULINO;PARDA;16;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;VESPERTINO
LESAO CORPORAL SEGUIDA DE MORTE;04:47;LAGOA SECA;R JOSE FARACHE, EM FRENTE A LOJA FENIX (PROX AO MIDWAY MALL);MASCULINO;PARDA;21;NI;NI;OBJETO CONTUNDENTE;ADULTO;MADRUGADA
HOMICIDIO;20:25;MÃE LUÍZA;R CAMARAGIBE;MASCULINO;PARDA;52;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;ADULTO;NOTURNO
HOMICIDIO;22:55;MÃE LUÍZA;R JAO XXIII ;MASCULINO;PARDA;23;ENTREGADOR DE GAS;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;ADULTO;NOTURNO
HOMICIDIO;NI;MÃE LUÍZA;R ATALAIA, 791;FEMININO;PARDA;36;AGRICULTOR(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;18:00;MÃE LUÍZA;R JOAO XXIII, ESQUINA DA 4ª TV, PROXIMO A IGREJA;MASCULINO;NEGRA;29;BISCATEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;18:00;MÃE LUÍZA;TV LARGO DO FAROL Nº 02;MASCULINO;NEGRA;21;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;NI;MÃE LUÍZA;R GUANABARA - EM FRENTE AO BAR DO DIDI;MASCULINO;BRANCA;22;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;01:48;MÃE LUÍZA;R JOAO XXIII, EM FRENTE AO Nº 749;MASCULINO;NEGRA;32;MOTORISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;19:27;MÃE LUÍZA;R LARGO DO FAROL - FRONTEIRA;MASCULINO;PARDA;18;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;22:55;MÃE LUÍZA;"NA TV JABOATAO, CONHECIDA COMO ""BECO DO VEINHO"", PROX A R CAMARAGIBE, PROX A MERCEARIA DO ROMUALDO";MASCULINO;NEGRA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;NOTURNO
HOMICIDIO;12:53;MÃE LUÍZA;R GUANABARA;MASCULINO;NEGRA;28;NI;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;NI;MÃE LUÍZA;R GUANABARA;MASCULINO;NEGRA;41;NI;NI;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;15:38;MÃE LUÍZA;R SAQUAREMA VP;MASCULINO;NEGRA;18;DESOCUPADO(A);NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;NI;MÃE LUÍZA;5ª TV JOAO XXIII;MASCULINO;PARDA;30;NI;NI;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;18:00;MÃE LUÍZA;ENCONTRADO NA TV FLORESTAL EM FRENTE AO Nº 36;MASCULINO;NEGRA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;VESPERTINO
HOMICIDIO;05:52;MÃE LUÍZA;R NOVA;MASCULINO;PARDA;20;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;18:00;MÃE LUÍZA;R SAQUAREMA;MASCULINO;NEGRA;30;NI;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;18:00;NEÓPOLIS;R SAO MIGUEL DOS CARIBES;MASCULINO;BRANCA;46;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;09:25;NEÓPOLIS;AV AYRTON SENNA;MASCULINO;BRANCA;25;MOTOTAXISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;23:38;NEÓPOLIS;AV AYRTON SENNA;MASCULINO;BRANCA;22;VIGILANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
MATRICIDIO;22:05;NEÓPOLIS;R CAMPANARIO Nº 4934;FEMININO;BRANCA;80;APOSENTADO(A);NI;ARMA BRANCA;IDOSO;NOTURNO
HOMICIDIO;18:00;NEÓPOLIS;R DOS IPES;MASCULINO;NEGRA;29;DESOCUPADO(A);NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;17:10;NEÓPOLIS;CENTRO DE DETENCAO PROVISORIA DE PIRANGI: ;MASCULINO;NEGRA;27;DETENTO;NI;ASFIXIA MECANICA PROVOCADA;ADULTO;VESPERTINO
HOMICIDIO;21:27;NEÓPOLIS;R DRA MIRIAM PINHEIRO VIEIRA DE SOUZA, CONDOMINIO MONTECARLO, CASA 10;MASCULINO;BRANCA;50;EMPRESARIO(A);SUPERIOR;ARMA DE FOGO;ADULTO;NOTURNO
LESAO CORPORAL SEGUIDA DE MORTE;12:53;NI;HOSPITAL WAFREDO GURGEL;MASCULINO;PARDA;16;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADOLESCENTE;VESPERTINO
LESAO CORPORAL SEGUIDA DE MORTE;23:35;NI;HOSPITAL WAFREDO GURGEL;MASCULINO;NEGRA;25;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
LESAO CORPORAL SEGUIDA DE MORTE;23:41;NI;HOSPITAL WAFREDO GURGEL;MASCULINO;NEGRA;23;AGRICULTOR(A);ENSINO FUNDAMENTAL COMPLETO;OBJETO CONTUNDENTE;ADULTO;NOTURNO
LESAO CORPORAL SEGUIDA DE MORTE;12:53;NI;HOSPITAL WAFREDO GURGEL;MASCULINO;PARDA;18;SERIGRAFISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
LESAO CORPORAL SEGUIDA DE MORTE;06:53;NI;HOSPITAL WAFREDO GURGEL;MASCULINO;PARDA;28;NI;NI;ARMA BRANCA;ADULTO;MATUTINO
LESAO CORPORAL SEGUIDA DE MORTE;NI;NI;HOSPITAL WAFREDO GURGEL;MASCULINO;PARDA;38;NI;NI;ARMA BRANCA;ADULTO;NI
LESAO CORPORAL SEGUIDA DE MORTE;23:57;NI;HOSPITAL DIOCLECIO MARQUES LUCENA;MASCULINO;PARDA;22;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
LESAO CORPORAL SEGUIDA DE MORTE;03:32;NI;HOSPITAL WAFREDO GURGEL;MASCULINO;PARDA;25;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;22:05;NI;HOSPITAL WAFREDO GURGEL;MASCULINO;PARDA;29;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
LESAO CORPORAL SEGUIDA DE MORTE;06:06;NI;HOSPITAL WAFREDO GURGEL;MASCULINO;PARDA;38;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;20:01;NI;HOSPITAL WAFREDO GURGEL;MASCULINO;PARDA;16;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;NOTURNO
LESAO CORPORAL SEGUIDA DE MORTE;20:41;NI;HOSPITAL WAFREDO GURGEL;MASCULINO;PARDA;16;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;NOTURNO
LESAO CORPORAL SEGUIDA DE MORTE;20:18;NI;HOSPITAL WAFREDO GURGEL;MASCULINO;PARDA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;NOTURNO
HOMICIDIO;21:27;NORDESTE;NI;MASCULINO;PARDA;16;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADOLESCENTE;NOTURNO
HOMICIDIO;23:50;NORDESTE;VIA PUBLIA NA AV RANIERI MAZZILLI;MASCULINO;NEGRA;22;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;19:15;NORDESTE;NI;MASCULINO;BRANCA;24;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;16:10;NORDESTE;ACADEMIA PUBLICA;MASCULINO;NEGRA;29;ESTUDANTE D;SUPERIOR;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;19:05;NOSSA SENHORA DE NAZARÉ;R EXPEDICIONARIO ADBAL DA CAMARA EM FRENTE AO Nº 33;FEMININO;PARDA;24;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;18:00;NOSSA SENHORA DE NAZARÉ;R JOAO TRAJANO Nº 2029;MASCULINO;BRANCA;34;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;20:48;NOSSA SENHORA DE NAZARÉ;R DOS CAICOS LC;MASCULINO;NEGRA;16;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADOLESCENTE;NOTURNO
HOMICIDIO;NI;NOSSA SENHORA DE NAZARÉ;R LEOPOLDO BELTRANO COM A TV JERONIMO CAMARA;MASCULINO;BRANCA;18;DESOCUPADO(A);NI;ARMA BRANCA;ADULTO;NI
HOMICIDIO;NI;NOSSA SENHORA DE NAZARÉ;R HERMITA CANSACAO;MASCULINO;BRANCA;26;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;18:00;NOSSA SENHORA DE NAZARÉ;R PEDRO TARGINO ;MASCULINO;PARDA;27;NI;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;07:10;NOSSA SENHORA DE NAZARÉ;R RUBENS MARIZ;MASCULINO;NEGRA;27;NI;NI;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;22:19;NOSSA SRA DA APRESENTAÇÃO;AV BOA SORTE;MASCULINO;PARDA;31;CABELEIREIRO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;NI;NOSSA SRA DA APRESENTAÇÃO;AV BOA SORTE;MASCULINO;PARDA;19;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;17:10;NOSSA SRA DA APRESENTAÇÃO;AV DAS FRONTEIRAS;MASCULINO;NEGRA;45;AGRICULTOR(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
LATROCINIO;13:38;NOSSA SRA DA APRESENTAÇÃO;AV INDUSTRIAL;MASCULINO;NEGRA;20;ACOUGUEIRO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
